,name,count
39,autogpts.autogpt.autogpt.agents.agent.execute_command-autogpts.autogpt.autogpt.agents.utils.exceptions.AgentException.__init__,172
41,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__-logging.Formatter.__init__,170
42,autogpts.forge.forge.sdk.forge_log.ForgeLogger.__init__-logging.Handler.setFormatter,170
43,autogpts.forge.forge.sdk.agent_test.test_get_step-object.__init__,170
44,autogpts.forge.forge.sdk.agent_test.test_create_and_execute_step-object.__init__,170
45,autogpts.autogpt.autogpt.commands.web_selenium.read_webpage-str.__add__,170
64,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.fmt_paragraph-str.__add__,158
65,autogpts.autogpt.autogpt.memory.vector.utils.get_embedding-list.__getitem__,158
66,autogpts.autogpt.autogpt.core.utils.json_schema.JSONSchema.parse_properties-dict.items,158
67,autogpts.autogpt.autogpt.models.action_history.EpisodicActionHistory.register_result-BaseException.__init__,157
70,autogpts.autogpt.tests.integration.test_setup.test_generate_aiconfig_automatic_typical-int.__le__,156
71,autogpts.autogpt.tests.integration.test_setup.test_generate_aiconfig_automatic_default-int.__le__,156
72,autogpts.autogpt.tests.challenges.memory.test_memory_challenge_d.check_beliefs-dict.items,156
73,autogpts.autogpt.tests.challenges.memory.test_memory_challenge_d.check_beliefs-dict.get,156
74,autogpts.autogpt.tests.challenges.information_retrieval.test_information_retrieval_challenge_c.test_information_retrieval_challenge_c-list.__getitem__,156
75,autogpts.autogpt.autogpt.agents.prompt_strategies.one_shot.OneShotAgentPromptStrategy.compile_progress-str.__add__,136
76,autogpts.autogpt.autogpt.agents.features.context.ContextMixin.build_prompt-str.__add__,136
731,autogpts.autogpt.tests.vcr.vcr_filter.replace_request_hostname-typing.NamedTuple._replace,86
732,autogpts.autogpt.tests.vcr.vcr_filter.replace_request_hostname-urllib.parse._NetlocResultMixinBase.hostname,86
733,autogpts.autogpt.tests.vcr.vcr_filter.replace_request_hostname-str.replace,86
734,autogpts.autogpt.tests.vcr.vcr_filter.replace_request_hostname-str.__contains__,86
735,autogpts.autogpt.tests.vcr.vcr_filter.replace_message_content-dict.__getitem__,86
736,autogpts.autogpt.tests.vcr.vcr_filter.replace_message_content-re.Pattern.sub,86
737,autogpts.autogpt.tests.vcr.vcr_filter.freeze_request_body-object.__eq__,86
738,autogpts.autogpt.tests.vcr.vcr_filter.freeze_request_body-str.encode,86
739,autogpts.autogpt.tests.vcr.vcr_filter.freeze_request-contextlib.suppress.__init__,86
740,autogpts.autogpt.tests.vcr.vcr_filter.freeze_request-contextlib.AbstractContextManager.__enter__,86
741,autogpts.autogpt.tests.vcr.vcr_filter.before_record_response-dict.__getitem__,86
742,autogpts.autogpt.tests.vcr.vcr_cassette_dir-tuple.__getitem__,86
743,autogpts.autogpt.tests.vcr.patched_api_requestor.patched_prepare_request-hashlib._Hash.hexdigest,86
744,autogpts.autogpt.tests.vcr.patched_api_requestor.patched_prepare_request-typing.Mapping.get,86
745,autogpts.autogpt.tests.vcr.get_base_vcr_config-dict.__setitem__,86
746,autogpts.autogpt.tests.utils.skip_in_ci-typing.Mapping.get,86
747,autogpts.autogpt.tests.utils.skip_in_ci-object.__eq__,86
748,autogpts.autogpt.tests.unit.test_web_search.test_safe_google_results-str.__eq__,86
749,autogpts.autogpt.tests.unit.test_web_search.test_google_official_search_errors-str.encode,86
750,autogpts.autogpt.tests.unit.test_utils.test_validate_yaml_file_valid-io.TextIOWrapper.__enter__,86
751,autogpts.autogpt.tests.unit.test_utils.test_validate_yaml_file_valid-io.TextIOBase.write,86
752,autogpts.autogpt.tests.unit.test_utils.test_validate_yaml_file_invalid-io.TextIOWrapper.__enter__,86
753,autogpts.autogpt.tests.unit.test_utils.test_validate_yaml_file_invalid-io.TextIOBase.write,86
754,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_new_bulletin-unittest.mock._patch.__enter__,86
755,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_new_bulletin-io.TextIOWrapper.__enter__,86
756,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_new_bulletin-io.TextIOBase.write,86
757,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_file-unittest.mock._patch.__enter__,86
758,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_file-io.TextIOWrapper.__enter__,86
759,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_with_file-io.TextIOBase.write,86
760,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_new_bulletin_same_as_old_bulletin-unittest.mock._patch.__enter__,86
761,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_new_bulletin_same_as_old_bulletin-io.TextIOWrapper.__enter__,86
762,autogpts.autogpt.tests.unit.test_utils.test_get_latest_bulletin_new_bulletin_same_as_old_bulletin-io.TextIOBase.write,86
763,autogpts.autogpt.tests.unit.test_utils.test_get_current_git_branch_failure-BaseException.__init__,86
764,autogpts.autogpt.tests.unit.test_utils.test_get_bulletin_from_web_exception-requests.exceptions.RequestException.__init__,86
765,autogpts.autogpt.tests.unit.test_utils.test_extract_json_from_response_wrapped_in_code_block-object.__repr__,86
766,autogpts.autogpt.tests.unit.test_utils.test_extract_json_from_response-object.__repr__,86
767,autogpts.autogpt.tests.unit.test_url_validation.TestValidateUrl.test_extremely_long_url-str.__add__,86
768,autogpts.autogpt.tests.unit.test_url_validation.TestValidateUrl.test_extremely_long_url-str.__mul__,86
769,autogpts.autogpt.tests.unit.test_text_file_parsers.test_parsers-int.__eq__,86
770,autogpts.autogpt.tests.unit.test_text_file_parsers.test_parsers-list.__contains__,86
771,autogpts.autogpt.tests.unit.test_text_file_parsers.test_parsers-dict.items,86
772,autogpts.autogpt.tests.unit.test_text_file_parsers.test_parsers-pathlib.Path.__new__,86
773,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_yaml_file-tempfile._TemporaryFileWrapper.__enter__,86
774,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_xml_file-tempfile._TemporaryFileWrapper.__enter__,86
775,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_xml_file-xml.etree.ElementTree.Element.__init__,86
776,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_xml_file-xml.etree.ElementTree.ElementTree.__init__,86
777,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_xml_file-xml.etree.ElementTree.ElementTree.write,86
778,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_text_file-tempfile._TemporaryFileWrapper.write,86
779,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_text_file-tempfile._TemporaryFileWrapper.__enter__,86
780,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_pdf_file-tempfile._TemporaryFileWrapper.__enter__,86
781,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_pdf_file-tempfile._TemporaryFileWrapper.write,86
782,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_md_file-tempfile._TemporaryFileWrapper.write,86
783,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_md_file-tempfile._TemporaryFileWrapper.__enter__,86
784,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_latex_file-tempfile._TemporaryFileWrapper.write,86
785,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_latex_file-tempfile._TemporaryFileWrapper.__enter__,86
786,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_json_file-tempfile._TemporaryFileWrapper.__enter__,86
787,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_html_file-bs4.BeautifulSoup.__init__,86
788,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_html_file-tempfile._TemporaryFileWrapper.write,86
789,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_html_file-object.__repr__,86
790,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_html_file-tempfile._TemporaryFileWrapper.__enter__,86
791,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_docx_file-tempfile._TemporaryFileWrapper.__enter__,86
792,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_csv_file-tempfile._TemporaryFileWrapper.write,86
793,autogpts.autogpt.tests.unit.test_text_file_parsers.mock_csv_file-tempfile._TemporaryFileWrapper.__enter__,86
794,autogpts.autogpt.tests.unit.test_retry_provider_openai.test_retry_open_api_service_unavairable_no_warn-int.__add__,86
795,autogpts.autogpt.tests.unit.test_retry_provider_openai.test_retry_open_api_rate_limit_no_warn-int.__add__,86
796,autogpts.autogpt.tests.unit.test_retry_provider_openai.error_factory-autogpts.autogpt.tests.unit.test_retry_provider_openai.error_factory.RaisesError.__init__,86
797,autogpts.autogpt.tests.unit.test_prompt_config.test_prompt_config_loading-int.__eq__,86
798,autogpts.autogpt.tests.unit.test_plugins.test_scan_plugins_openai-int.__eq__,86
799,autogpts.autogpt.tests.unit.test_plugins.test_scan_plugins_not_enabled-list.__contains__,86
800,autogpts.autogpt.tests.unit.test_plugins.test_scan_plugins_not_enabled-int.__eq__,86
801,autogpts.autogpt.tests.unit.test_plugins.test_scan_plugins_generic-list.__contains__,86
802,autogpts.autogpt.tests.unit.test_plugins.test_scan_plugins_generic-int.__eq__,86
803,autogpts.autogpt.tests.unit.test_plugins.test_load_config-io.TextIOWrapper.__enter__,86
804,autogpts.autogpt.tests.unit.test_plugins.test_load_config-int.__eq__,86
805,autogpts.autogpt.tests.unit.test_plugins.test_load_config-io.TextIOBase.write,86
806,autogpts.autogpt.tests.unit.test_plugins.test_inspect_zip_for_modules-object.__repr__,86
807,autogpts.autogpt.tests.unit.test_plugins.test_create_base_config-io.TextIOWrapper.__enter__,86
808,autogpts.autogpt.tests.unit.test_plugins.test_create_base_config-int.__eq__,86
809,autogpts.autogpt.tests.unit.test_git_commands.test_clone_repository_error-git.exc.GitCommandError.__init__,86
810,autogpts.autogpt.tests.unit.test_git_commands.test_clone_auto_gpt_repository-str.__add__,86
811,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_relative_path-io.TextIOWrapper.__enter__,86
812,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_relative_path-str.__eq__,86
813,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_relative_path-io.TextIOBase.read,86
814,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_absolute_path-io.TextIOWrapper.__enter__,86
815,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_absolute_path-str.__eq__,86
816,autogpts.autogpt.tests.unit.test_file_operations.test_write_to_file_absolute_path-io.TextIOBase.read,86
817,autogpts.autogpt.tests.unit.test_file_operations.test_write_file_logs_checksum-io.TextIOWrapper.__enter__,86
818,autogpts.autogpt.tests.unit.test_file_operations.test_write_file_logs_checksum-str.__eq__,86
819,autogpts.autogpt.tests.unit.test_file_operations.test_write_file_logs_checksum-io.TextIOBase.read,86
820,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation_with_checksum-io.TextIOWrapper.__enter__,86
821,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation_with_checksum-str.__contains__,86
822,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation_with_checksum-io.TextIOBase.read,86
823,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation-io.TextIOWrapper.__enter__,86
824,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation-str.__contains__,86
825,autogpts.autogpt.tests.unit.test_file_operations.test_log_operation-io.TextIOBase.read,86
826,autogpts.autogpt.tests.unit.test_file_operations.test_list_files-io.TextIOWrapper.__enter__,86
827,autogpts.autogpt.tests.unit.test_file_operations.test_list_files-io.TextIOBase.write,86
828,autogpts.autogpt.tests.unit.test_file_operations.test_file_with_content_path-typing.IO.name,86
829,autogpts.autogpt.tests.unit.test_file_operations.test_file_with_content_path-pathlib.Path.__new__,86
830,autogpts.autogpt.tests.unit.test_file_operations.test_file_with_content_path-io.TextIOBase.write,86
831,autogpts.autogpt.tests.unit.test_file_operations.test_file_with_content_path-io.IOBase.close,86
832,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_state-typing.IO.name,86
833,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_state-io.TextIOBase.write,86
834,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_state-io.IOBase.close,86
835,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_log-object.__eq__,86
836,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_log-io.IOBase.close,86
837,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_log-typing.IO.name,86
838,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_log-list.__init__,86
839,autogpts.autogpt.tests.unit.test_file_operations.test_file_operations_log-io.TextIOBase.write,86
840,autogpts.autogpt.tests.unit.test_file_operations.test_file_name-pathlib.Path.__new__,86
841,autogpts.autogpt.tests.unit.test_file_operations.test_file-io.TextIOWrapper.closed,86
842,autogpts.autogpt.tests.unit.test_file_operations.test_file-io.IOBase.close,86
843,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-hashlib._Hash.hexdigest,86
844,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-hashlib._Hash.update,86
845,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-str.encode,86
846,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-io.TextIOWrapper.__enter__,86
847,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-str.__eq__,86
848,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file_uses_checksum_from_appended_file-io.TextIOBase.read,86
849,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file-str.__add__,86
850,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file-io.TextIOWrapper.__enter__,86
851,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file-str.__eq__,86
852,autogpts.autogpt.tests.unit.test_file_operations.test_append_to_file-io.TextIOBase.read,86
853,autogpts.autogpt.tests.unit.test_config.test_create_config_gpt4only-unittest.mock._patch.__enter__,86
854,autogpts.autogpt.tests.unit.test_config.test_create_config_gpt3only-unittest.mock._patch.__enter__,86
855,autogpts.autogpt.tests.unit.test_config.test_azure_config-os._Environ.__setitem__,86
856,autogpts.autogpt.tests.unit.test_config.test_azure_config-os._Environ.__getitem__,86
857,autogpts.autogpt.tests.unit.test_commands.test_unregister_command_aliases-int.__eq__,86
858,autogpts.autogpt.tests.unit.test_commands.test_unregister_command-int.__eq__,86
859,autogpts.autogpt.tests.unit.test_commands.test_register_command_aliases-int.__eq__,86
860,autogpts.autogpt.tests.unit.test_commands.test_register_command-int.__eq__,86
861,autogpts.autogpt.tests.unit.test_commands.test_import_temp_command_file_module-object.__repr__,86
862,autogpts.autogpt.tests.unit.test_commands.test_import_temp_command_file_module-list.remove,86
863,autogpts.autogpt.tests.unit.test_commands.test_import_temp_command_file_module-list.append,86
864,autogpts.autogpt.tests.unit.test_commands.test_import_temp_command_file_module-pathlib.PurePath.__truediv__,86
865,autogpts.autogpt.tests.unit.test_commands.test_import_temp_command_file_module-pathlib.Path.__new__,86
866,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_embedding_model-float.__truediv__,86
867,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_embedding_model-float.__rmul__,86
868,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_completion_model-float.__truediv__,86
869,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_update_cost_completion_model-float.__add__,86
870,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_getter_methods-float.__truediv__,86
871,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_getter_methods-float.__add__,86
872,autogpts.autogpt.tests.unit.test_api_manager.TestApiManager.test_get_models-unittest.mock._patch.__enter__,86
873,autogpts.autogpt.tests.unit.models.test_base_open_api_plugin.test_dummy_plugin_default_methods-list.__getitem__,86
874,autogpts.autogpt.tests.unit.models.test_base_open_api_plugin.test_dummy_plugin_default_methods-tuple.__getitem__,86
875,autogpts.autogpt.tests.unit.models.test_base_open_api_plugin.test_dummy_plugin_default_methods-str.__eq__,86
876,autogpts.autogpt.tests.unit.models.test_base_open_api_plugin.test_dummy_plugin_default_methods-int.__eq__,86
877,autogpts.autogpt.tests.unit.models.test_base_open_api_plugin.dummy_plugin-object.__init__,86
878,autogpts.autogpt.tests.unit.data.test_plugins.auto_gpt_guanaco.AutoGPTGuanaco.__init__-object.__init__,86
879,autogpts.autogpt.tests.integration.test_web_selenium.test_browse_website_nonexistent_url-int.__lt__,86
880,autogpts.autogpt.tests.integration.test_image_gen.test_sd_webui_negative_prompt-hashlib._Hash.hexdigest,86
881,autogpts.autogpt.tests.integration.test_image_gen.test_sd_webui_negative_prompt-PIL.Image.Image.tobytes,86
882,autogpts.autogpt.tests.integration.test_image_gen.test_sd_webui_negative_prompt-functools.partial.__new__,86
883,autogpts.autogpt.tests.integration.test_image_gen.test_sd_webui_negative_prompt-PIL.Image.Image.__enter__,86
884,autogpts.autogpt.tests.integration.test_image_gen.test_sd_webui_negative_prompt-str.__ne__,86
885,autogpts.autogpt.tests.integration.test_image_gen.lst-pathlib.Path.__new__,86
886,autogpts.autogpt.tests.integration.test_image_gen.generate_and_validate-PIL.Image.Image.size,86
887,autogpts.autogpt.tests.integration.test_image_gen.generate_and_validate-object.__eq__,86
888,autogpts.autogpt.tests.integration.test_image_gen.generate_and_validate-PIL.Image.Image.__enter__,86
889,autogpts.autogpt.tests.integration.memory.utils.mock_embedding-numpy.ndarray.__getitem__,86
890,autogpts.autogpt.tests.conftest.workspace_root-pathlib.PurePath.__truediv__,86
891,autogpts.autogpt.tests.conftest.temp_plugins_config_file-io.TextIOWrapper.__enter__,86
892,autogpts.autogpt.tests.conftest.temp_plugins_config_file-tempfile.TemporaryDirectory.__init__,86
893,autogpts.autogpt.tests.conftest.temp_plugins_config_file-io.TextIOBase.write,86
894,autogpts.autogpt.tests.conftest.setup_logger-pathlib.PurePath.__truediv__,86
895,autogpts.autogpt.tests.conftest.setup_logger-pathlib.Path.__new__,86
896,autogpts.autogpt.tests.conftest.config-typing.Mapping.get,86
897,autogpts.autogpt.tests.conftest.config-os._Environ.__setitem__,86
898,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-zipfile.ZipFile.__init__,86
899,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-str.__contains__,86
900,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-zipfile.ZipFile.namelist,86
901,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-pathlib.Path.__new__,86
902,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-pathlib.Path.glob,86
903,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-object.__repr__,86
904,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-typing.Generator.__next__,86
905,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-zipfile.ZipFile.extract,86
906,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-list.__getitem__,86
907,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-str.rsplit,86
908,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-tuple.__getitem__,86
909,autogpts.autogpt.scripts.install_plugin_deps.install_plugin_dependencies-zipfile.ZipFile.__enter__,86
910,autogpts.autogpt.scripts.check_requirements.main-list.append,86
911,autogpts.autogpt.scripts.check_requirements.main-str.join,86
912,autogpts.autogpt.data_ingestion.main-argparse._ActionsContainer.add_mutually_exclusive_group,86
913,autogpts.autogpt.data_ingestion.main-BaseException.__str__,86
914,autogpts.autogpt.data_ingestion.main-str.__add__,86
915,autogpts.autogpt.data_ingestion.main-argparse.ArgumentParser.__init__,86
916,autogpts.autogpt.data_ingestion.main-argparse.ArgumentParser.parse_args,86
917,autogpts.autogpt.data_ingestion.ingest_directory-BaseException.__str__,86
918,autogpts.autogpt.data_ingestion.ingest_directory-logging.Logger.error,86
919,autogpts.autogpt.data_ingestion.configure_logging-logging.FileHandler.__init__,86
920,autogpts.autogpt.data_ingestion.configure_logging-logging.StreamHandler.__init__,86
921,autogpts.autogpt.autogpt.utils.validate_yaml_file-io.TextIOWrapper.__enter__,86
922,autogpts.autogpt.autogpt.utils.validate_yaml_file-io.TextIOBase.read,86
923,autogpts.autogpt.autogpt.url_utils.validators.validate_url.wrapper-int.__gt__,86
924,autogpts.autogpt.autogpt.url_utils.validators.validate_url.wrapper-BaseException.__init__,86
925,autogpts.autogpt.autogpt.url_utils.validators.check_local_file_access-str.startswith,86
926,autogpts.autogpt.autogpt.speech.stream_elements_speech.StreamElementsSpeech._speech-requests.models.Response.content,86
927,autogpts.autogpt.autogpt.speech.stream_elements_speech.StreamElementsSpeech._speech-io.BufferedWriter.__enter__,86
928,autogpts.autogpt.autogpt.speech.stream_elements_speech.StreamElementsSpeech._speech-io.BufferedWriter.write,86
929,autogpts.autogpt.autogpt.speech.stream_elements_speech.StreamElementsSpeech._speech-int.__eq__,86
930,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.say._speak-threading.Semaphore.release,86
931,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.say-threading.Thread.start,86
932,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.say-threading.Thread.__init__,86
933,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.say-threading.Semaphore.acquire,86
934,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine-autogpts.autogpt.autogpt.speech.base.VoiceBase.__init__,86
935,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.__repr__-object.__class__,86
936,autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider.__init__-autogpts.autogpt.autogpt.speech.say.TextToSpeechProvider._get_voice_engine,86
937,autogpts.autogpt.autogpt.speech.macos_tts.MacOSTTS._speech-int.__eq__,86
938,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._use_custom_voice-set.__contains__,86
939,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._speech-requests.models.Response.content,86
940,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._speech-io.BufferedWriter.__enter__,86
941,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._speech-io.BufferedWriter.write,86
942,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._speech-int.__eq__,86
943,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._setup-list.copy,86
944,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._setup-typing.Mapping.__contains__,86
945,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._setup-dict.__getitem__,86
946,autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._setup-autogpts.autogpt.autogpt.speech.eleven_labs.ElevenLabsSpeech._use_custom_voice,86
947,autogpts.autogpt.autogpt.speech.base.VoiceBase.say-threading.Lock.__enter__,86
948,autogpts.autogpt.autogpt.speech.base.VoiceBase.say-autogpts.autogpt.autogpt.speech.base.VoiceBase._speech,86
949,autogpts.autogpt.autogpt.speech.base.VoiceBase.__init__-object.__init__,86
950,autogpts.autogpt.autogpt.speech.base.VoiceBase.__init__-autogpts.autogpt.autogpt.speech.base.VoiceBase._setup,86
951,autogpts.autogpt.autogpt.singleton.Singleton.__call__-type.__call__,86
952,autogpts.autogpt.autogpt.prompts.utils.indent-object.__eq__,86
953,autogpts.autogpt.autogpt.prompts.utils.indent-str.replace,86
954,autogpts.autogpt.autogpt.prompts.utils.indent-str.__add__,86
955,autogpts.autogpt.autogpt.prompts.utils.indent-str.__mul__,86
956,autogpts.autogpt.autogpt.prompts.utils.format_numbered_list-str.join,86
957,autogpts.autogpt.autogpt.prompts.utils.format_numbered_list-enumerate.__init__,86
958,autogpts.autogpt.autogpt.prompts.utils.format_numbered_list-enumerate.__next__,86
959,autogpts.autogpt.autogpt.processing.text.summarize_text-enumerate.__init__,86
960,autogpts.autogpt.autogpt.processing.text.summarize_text-BaseException.__init__,86
961,autogpts.autogpt.autogpt.processing.text.summarize_text-str.__mul__,86
962,autogpts.autogpt.autogpt.processing.text.summarize_text-range.__init__,86
963,autogpts.autogpt.autogpt.processing.text.summarize_text-list.append,86
964,autogpts.autogpt.autogpt.processing.text.summarize_text-list.__init__,86
965,autogpts.autogpt.autogpt.processing.text.summarize_text-str.strip,86
966,autogpts.autogpt.autogpt.processing.text.summarize_text-str.join,86
967,autogpts.autogpt.autogpt.processing.text.summarize_text-int.__add__,86
968,autogpts.autogpt.autogpt.processing.text.summarize_text-enumerate.__next__,86
969,autogpts.autogpt.autogpt.processing.text.summarize_text-tuple.__getitem__,86
970,autogpts.autogpt.autogpt.processing.text.split_text-int.__sub__,86
971,autogpts.autogpt.autogpt.processing.text.split_text-str.join,86
972,autogpts.autogpt.autogpt.processing.text.split_text-list.__init__,86
