,name,count
44,tools.web_scrapper.Scraper.parse_and_store_data|tools.web_scrapper.Logger.log,1
45,tools.web_scrapper.Scraper.parse_and_store_data|tools.web_scrapper.URLManager.normalize_url,1
46,tools.web_scrapper.Scraper.parse_and_store_data|io.TextIOBase.write,1
47,tools.web_scrapper.Scraper.parse_and_store_data|bs4.element.Tag.find_all,1
48,tools.web_scrapper.Scraper.__init__|object.__init__,1
49,tools.web_scrapper.Scraper.__init__|tools.web_scrapper.URLManager.__init__,1
50,tools.web_scrapper.Scraper.__init__|tools.web_scrapper.HttpClient.__init__,1
51,tools.web_scrapper.HttpClient.send_request|BaseException.__str__,1
52,tools.web_scrapper.HttpClient.send_request|requests.models.Response.raise_for_status,1
53,tools.web_scrapper.HttpClient.send_request|BaseException.__init__,1
54,tools.web_scrapper.HttpClient.send_request|requests.models.Response.text,1
55,tools.web_scrapper.GUI.setup_ui|tkinter.ttk.Label.__init__,1
56,tools.web_scrapper.GUI.setup_ui|tkinter.ttk.Button.__init__,1
57,tools.web_scrapper.GUI.setup_ui|tkinter.ttk.Entry.__init__,1
58,tools.web_scrapper.GUI.__init__|tools.web_scrapper.GUI.setup_ui,1
59,tools.web_scrapper.GUI.__init__|tkinter.Tk.__init__,1
60,tools.web_scrapper.AppController.start_scraping|threading.Thread.start,1
61,tools.web_scrapper.AppController.start_scraping|threading.Thread.__init__,1
62,tools.web_scrapper.AppController.__init__|tools.web_scrapper.Scraper.__init__,1
63,tools.web_constructor.WebConstructorApp.setup_ui|tkinter.ttk.Label.__init__,1
64,tools.web_constructor.WebConstructorApp.setup_ui|tkinter.ttk.Button.__init__,1
65,tools.web_constructor.WebConstructorApp.setup_ui|tkinter.ttk.Entry.__init__,1
66,tools.web_constructor.WebConstructorApp.on_start_constructing|threading.Thread.start,1
67,tools.web_constructor.WebConstructorApp.on_start_constructing|threading.Thread.__init__,1
68,tools.web_constructor.WebConstructorApp.construct_website|tools.web_constructor.WebConstructor.construct_website,1
69,tools.web_constructor.WebConstructorApp.construct_website|BaseException.__str__,1
70,tools.web_constructor.WebConstructorApp.__init__|tools.web_constructor.WebConstructorApp.setup_ui,1
71,tools.web_constructor.WebConstructorApp.__init__|tkinter.Tk.__init__,1
72,tools.web_constructor.WebConstructorApp.__init__|tools.web_constructor.WebConstructor.__init__,1
73,tools.web_constructor.WebConstructor.construct_website|hashlib._Hash.hexdigest,1
74,tools.web_constructor.WebConstructor.construct_website|io.TextIOWrapper.__enter__,1
75,tools.web_constructor.WebConstructor.construct_website|tools.web_constructor.WebConstructor.construct_page,1
76,tools.web_constructor.WebConstructor.construct_website|str.encode,1
77,tools.web_constructor.WebConstructor.construct_website|io.TextIOBase.read,1
78,tools.web_constructor.WebConstructor.construct_page|bs4.BeautifulSoup.__init__,1
79,tools.web_constructor.WebConstructor.construct_page|object.__repr__,1
80,tools.web_constructor.WebConstructor.construct_page|bs4.element.Tag.find_all,1
81,tools.web_constructor.WebConstructor.construct_page|io.TextIOWrapper.__enter__,1
82,tools.web_constructor.WebConstructor.construct_page|io.TextIOBase.write,1
83,tools.langchain_tools.CircumferenceTool._run|float.__new__,1
84,tools.langchain_tools.CircumferenceTool._run|float.__mul__,1
85,main.main|agents.core_agents.CoreAgent.__init__,1
86,main.main|agents.core_agents.CoreAgent.initiate_chat,1
87,llms_config.LlmConfiguration._find_and_load_config|BaseException.__init__,1
88,llms_config.LlmConfiguration._find_and_load_config|str.__eq__,1
89,llms_config.LlmConfiguration.__new__|object.__new__,1
90,llms_config.LlmConfiguration.__init__|llms_config.LlmConfiguration._find_and_load_config,1
91,agents.retreiver_agent.retriever_agent|int.__gt__,1
92,agents.internet_agent.internet_agent|llms_config.LlmConfiguration.__init__,1
93,agents.core_agents.CoreAgent.initiate_chat|utils.orchestrator.Orchestrator.__init__,1
94,agents.core_agents.CoreAgent.initiate_chat|utils.orchestrator.Orchestrator.start_conversation,1
95,agents.core_agents.CoreAgent.__init__|io.TextIOWrapper.__enter__,1
