,name,count,func
347,vikyw89,86,BaseException.__init__
348,Jarvis,86,BaseException.__init__
349,FritzGPT,86,BaseException.__init__
350,aorwall,86,object.__init__
351,elmcrest,86,list.__getitem__
352,jmikedupont2,86,BaseException.__init__
353,hackgoofer,86,BaseException.__init__
354,Crock-nic,86,BaseException.__init__
355,lebsral,86,BaseException.__init__
356,darkanubis0100,86,BaseException.__init__
357,jankomisarczyk,86,BaseException.__init__
358,kuraldijital,86,BaseException.__init__
359,ghjk0498,86,list.__getitem__
360,Auto-GPT,86,io.TextIOWrapper.__enter__
361,CollectionOfAtoms,85,BaseException.__init__
362,micahnz,85,BaseException.__init__
363,kabbo25,85,BaseException.__init__
364,Tonic-AI,85,object.__init__
365,hamicek,85,list.__getitem__
366,harishafeez1,85,BaseException.__init__
367,banuitt,85,BaseException.__init__
368,ahmedmiamer,85,BaseException.__init__
369,elder-plinius,85,list.__getitem__
370,yodatech1988,85,BaseException.__init__
371,eugenxs,85,BaseException.__init__
372,aplomb2,85,BaseException.__init__
373,DedicatedDev,85,BaseException.__init__
374,Swarms-Of-Sparta,85,BaseException.__init__
375,mljar-agent,85,BaseException.__init__
376,elmcrest,85,object.__init__
377,NaixingWang,85,BaseException.__init__
378,joslangarica,85,BaseException.__init__
379,Agora-X,85,BaseException.__init__
380,merwanehamadi,85,BaseException.__init__
381,ghjk0498,85,object.__init__
382,pplonski,85,BaseException.__init__
383,Bentlybro,85,BaseException.__init__
384,leehua03f3,85,BaseException.__init__
385,taylor-ennen,84,list.__getitem__
386,Iyfo,84,BaseException.__init__
387,analysis,84,slice.__init__
388,CryptoFewka,84,list.__getitem__
389,AutoGPT-trading,84,list.__getitem__
390,fpingham,84,list.__getitem__
391,ido777,84,BaseException.__init__
392,jm16,84,list.__getitem__
393,a-cires,84,list.__getitem__
394,alex-dna-tech,84,BaseException.__init__
395,Asimov,84,list.__getitem__
396,enachb,84,list.__getitem__
397,markcam1,84,list.__getitem__
398,datasci888,84,list.__getitem__
399,aorwall,84,str.__add__
400,0713e,84,BaseException.__init__
401,Calebslc,84,BaseException.__init__
402,georgehaws,84,list.__getitem__
403,kwassali,84,BaseException.__init__
404,gordonwilliamsburg,84,list.__getitem__
405,Auto-GPT,84,BaseException.__init__
406,aaron13100,84,BaseException.__init__
407,lollms,83,slice.__init__
408,hooking-software,83,BaseException.__init__
409,clusterfudge,83,BaseException.__init__
410,996800651,83,dict.__getitem__
411,996800651,83,io.TextIOWrapper.__enter__
412,TheAgency,82,str.split
413,banuitt,81,io.TextIOWrapper.__enter__
414,TheAgency,81,object.__repr__
415,lollms,80,list.append
416,Asimov,80,object.__init__
417,taylor-ennen,79,object.__init__
418,analysis,79,str.split
419,Tonic-AI,79,str.__add__
420,hamicek,79,object.__init__
421,AutoGPT-trading,79,object.__init__
422,jm16,79,object.__init__
423,elder-plinius,79,object.__init__
424,a-cires,79,object.__init__
425,enachb,79,object.__init__
426,datasci888,79,object.__init__
427,georgehaws,79,object.__init__
428,gordonwilliamsburg,79,object.__init__
429,CryptoFewka,78,object.__init__
430,fpingham,78,object.__init__
431,markcam1,78,object.__init__
432,lollms,75,BaseException.__init__
433,analysis,75,logging.Logger.warning
434,AcrearHub,74,io.TextIOWrapper.__enter__
435,bary12,74,io.TextIOWrapper.__enter__
436,Metameg,74,io.TextIOWrapper.__enter__
437,Tonic-AI,74,io.TextIOWrapper.__enter__
438,greyun,74,io.TextIOWrapper.__enter__
439,TheAgency,74,io.TextIOWrapper.__enter__
440,martinpeng,74,io.TextIOWrapper.__enter__
441,ishangirdhar,74,io.TextIOWrapper.__enter__
442,b2ktortechnik,74,io.TextIOWrapper.__enter__
443,AcrearHub,73,str.__add__
444,bary12,73,str.__add__
445,Metameg,73,str.__add__
446,greyun,73,str.__add__
447,TheAgency,73,int.__eq__
448,martinpeng,73,str.__add__
449,MasonBoomPersonalAssistant,73,str.__add__
450,MasonBoom,73,str.__add__
451,ishangirdhar,73,str.__add__
452,ghjk0498,73,str.__add__
453,b2ktortechnik,73,str.__add__
454,Gasiorrr,72,list.__getitem__
455,JGuiraud,72,list.__getitem__
456,isayahc,72,list.__getitem__
457,dtakahas,72,list.__getitem__
458,ScottGPT,72,list.__getitem__
459,mahmudremal,72,list.__getitem__
460,chasegalloway,72,list.__getitem__
461,scottmas,72,list.__getitem__
462,neitheroption,72,list.__getitem__
463,jackcusick95,72,list.__getitem__
464,osGPT,72,list.__getitem__
465,Freek-ZIGZAG,72,list.__getitem__
466,JadeCong,72,list.__getitem__
467,blazzbyte,72,list.__getitem__
468,jackyluo-learning,72,list.__getitem__
469,AutoGPTOfficial,72,list.__getitem__
470,Matlan1,72,list.__getitem__
471,HawkClaws,71,list.__getitem__
472,CollectionOfAtoms,71,list.__getitem__
473,Iyfo,71,list.__getitem__
474,analysis,71,str.strip
475,micahnz,71,list.__getitem__
476,kabbo25,71,list.__getitem__
477,HMDCrew,71,list.__getitem__
478,ido777,71,list.__getitem__
479,harishafeez1,71,list.__getitem__
480,ahmedmiamer,71,list.__getitem__
481,yodatech1988,71,list.__getitem__
482,eugenxs,71,list.__getitem__
483,aplomb2,71,list.__getitem__
484,alex-dna-tech,71,list.__getitem__
485,DedicatedDev,71,list.__getitem__
486,FritzGPT,71,list.__getitem__
487,0713e,71,list.__getitem__
488,Swarms-Of-Sparta,71,list.__getitem__
489,mljar-agent,71,list.__getitem__
490,elmcrest,71,str.__add__
491,Calebslc,71,list.__getitem__
492,hackgoofer,71,list.__getitem__
493,Crock-nic,71,list.__getitem__
494,NaixingWang,71,list.__getitem__
495,darkanubis0100,71,list.__getitem__
496,kuraldijital,71,list.__getitem__
497,kwassali,71,list.__getitem__
498,joslangarica,71,list.__getitem__
499,Agora-X,71,list.__getitem__
500,merwanehamadi,71,list.__getitem__
501,aaron13100,71,list.__getitem__
502,pplonski,71,list.__getitem__
503,Bentlybro,71,list.__getitem__
504,leehua03f3,71,list.__getitem__
505,lollms,70,str.join
506,hooking-software,70,list.__getitem__
507,clusterfudge,70,list.__getitem__
508,Tonic-AI,70,list.__getitem__
509,fpingham,70,str.__add__
510,996800651,70,BaseException.__init__
511,lebsral,70,list.__getitem__
512,taylor-ennen,69,str.__add__
513,hamicek,69,str.__add__
514,AutoGPT-trading,69,str.__add__
515,jm16,69,str.__add__
516,TheAgency,69,str.join
517,TheAgency,69,slice.__init__
518,elder-plinius,69,str.__add__
519,a-cires,69,str.__add__
520,Asimov,69,str.__add__
521,enachb,69,str.__add__
522,datasci888,69,str.__add__
523,georgehaws,69,str.__add__
524,gordonwilliamsburg,69,str.__add__
525,Auto-GPT,69,list.__getitem__
526,Auto-GPT-Turbo,68,str.__eq__
527,vikyw89,68,list.__getitem__
528,Jarvis,68,list.__getitem__
529,jmikedupont2,68,list.__getitem__
530,jankomisarczyk,68,list.__getitem__
531,JGuiraud,67,str.__add__
532,vikyw89,67,str.__add__
533,996800651,67,list.__getitem__
534,mahmudremal,67,str.__add__
535,Jarvis,67,str.__add__
536,banuitt,67,list.__getitem__
537,jackcusick95,67,str.__add__
538,jmikedupont2,67,str.__add__
539,Freek-ZIGZAG,67,str.__add__
540,JadeCong,67,str.__add__
541,jankomisarczyk,67,str.__add__
542,Gasiorrr,66,str.__add__
543,isayahc,66,str.__add__
544,dtakahas,66,str.__add__
545,analysis,66,list.__add__
546,ScottGPT,66,str.__add__
547,CryptoFewka,66,str.__add__
548,Tonic-AI,66,str.join
549,996800651,66,dict.__setitem__
550,chasegalloway,66,str.__add__
551,scottmas,66,str.__add__
552,neitheroption,66,str.__add__
553,markcam1,66,str.__add__
554,SuperAGI,66,superagi.lib.logger.Logger.info
555,osGPT,66,str.__add__
556,aorwall,66,str.join
557,cnacha-mfu,66,str.__eq__
558,blazzbyte,66,str.__add__
559,jackyluo-learning,66,str.__add__
560,AutoGPTOfficial,66,str.__add__
561,Matlan1,66,str.__add__
562,HawkClaws,65,str.__add__
563,CollectionOfAtoms,65,str.__add__
564,micahnz,65,str.__add__
565,kabbo25,65,str.__add__
566,HMDCrew,65,str.__add__
567,harishafeez1,65,str.__add__
568,ahmedmiamer,65,str.__add__
569,yodatech1988,65,str.__add__
570,eugenxs,65,str.__add__
571,aplomb2,65,str.__add__
572,SuperAGI,65,unittest.mock.CallableMixin.__init__
573,DedicatedDev,65,str.__add__
574,FritzGPT,65,str.__add__
575,Swarms-Of-Sparta,65,str.__add__
576,mljar-agent,65,str.__add__
577,hackgoofer,65,str.__add__
578,Crock-nic,65,str.__add__
579,NaixingWang,65,str.__add__
580,lebsral,65,str.__add__
581,darkanubis0100,65,str.__add__
582,kuraldijital,65,str.__add__
583,joslangarica,65,str.__add__
584,Agora-X,65,str.__add__
585,merwanehamadi,65,str.__add__
586,pplonski,65,str.__add__
587,Bentlybro,65,str.__add__
588,leehua03f3,65,str.__add__
589,AcrearHub,64,str.join
590,bary12,64,str.join
591,Metameg,64,str.join
592,greyun,64,str.join
593,banuitt,64,str.__add__
594,martinpeng,64,str.join
595,elmcrest,64,object.__repr__
596,ishangirdhar,64,str.join
597,ghjk0498,64,object.__repr__
598,Auto-GPT,64,str.__add__
599,b2ktortechnik,64,str.join
600,analysis,63,unittest.case.TestCase.assertIn
601,analysis,63,beniget.tests.test_definitions.TestGlobals.checkGlobals
602,openai-python,63,str.__mod__
603,ijuubs,63,dict.__getitem__
604,MasonBoomPersonalAssistant,63,int.__eq__
605,elmcrest,63,str.join
606,MasonBoom,63,int.__eq__
607,ghjk0498,63,str.join
608,JGuiraud,62,str.join
609,lollms,62,lollms.config.BaseConfig.__getitem__
610,hooking-software,62,str.__add__
611,Iyfo,62,str.__add__
612,analysis,62,io.TextIOBase.write
613,clusterfudge,62,str.__add__
614,mahmudremal,62,str.join
615,ido777,62,str.__add__
616,TheAgency,62,list.__contains__
617,alex-dna-tech,62,str.__add__
618,Asimov,62,int.__eq__
619,jackcusick95,62,str.join
620,aorwall,62,object.__repr__
621,0713e,62,str.__add__
622,Calebslc,62,str.__add__
623,Freek-ZIGZAG,62,str.join
624,JadeCong,62,str.join
625,kwassali,62,str.__add__
626,aaron13100,62,str.__add__
627,Gasiorrr,61,str.join
628,isayahc,61,str.join
629,dtakahas,61,str.join
630,ScottGPT,61,str.join
631,chasegalloway,61,str.join
632,scottmas,61,str.join
633,elder-plinius,61,str.join
634,neitheroption,61,str.join
635,SuperAGI,61,unittest.mock._patch.__enter__
636,osGPT,61,str.join
637,MasonBoomPersonalAssistant,61,str.join
638,MasonBoomPersonalAssistant,61,logging.Logger.debug
639,aorwall,61,int.__add__
640,MasonBoom,61,str.join
641,MasonBoom,61,logging.Logger.debug
642,blazzbyte,61,str.join
643,jackyluo-learning,61,str.join
644,AutoGPTOfficial,61,str.join
645,Matlan1,61,str.join
646,taylor-ennen,60,str.join
647,Tonic-AI,60,object.__repr__
648,hamicek,60,str.join
649,AutoGPT-trading,60,str.join
650,jm16,60,str.join
651,a-cires,60,str.join
652,Asimov,60,str.join
653,enachb,60,str.join
654,datasci888,60,str.join
655,SuperAGI,60,list.append
656,hackgoofer,60,str.join
657,Crock-nic,60,str.join
658,cnacha-mfu,60,io.TextIOWrapper.__enter__
659,georgehaws,60,str.join
660,gordonwilliamsburg,60,str.join
661,HawkClaws,59,str.join
662,CollectionOfAtoms,59,str.join
663,analysis,59,int.__sub__
664,micahnz,59,str.join
665,kabbo25,59,str.join
666,HMDCrew,59,str.join
667,fpingham,59,int.__eq__
668,vikyw89,59,int.__add__
669,harishafeez1,59,str.join
670,Jarvis,59,int.__add__
671,banuitt,59,object.__repr__
672,ahmedmiamer,59,str.join
673,elder-plinius,59,int.__eq__
674,yodatech1988,59,str.join
675,eugenxs,59,str.join
676,aplomb2,59,str.join
677,datasci888,59,int.__eq__
678,DedicatedDev,59,str.join
679,FritzGPT,59,str.join
680,MasonBoomPersonalAssistant,59,object.__repr__
681,aorwall,59,int.__eq__
682,Swarms-Of-Sparta,59,str.join
683,mljar-agent,59,str.join
684,MasonBoom,59,object.__repr__
685,jmikedupont2,59,int.__add__
686,NaixingWang,59,str.join
687,cnacha-mfu,59,dict.__getitem__
688,lebsral,59,int.__add__
689,darkanubis0100,59,str.join
690,jankomisarczyk,59,int.__add__
691,kuraldijital,59,str.join
692,joslangarica,59,str.join
693,Agora-X,59,str.join
694,merwanehamadi,59,str.join
695,ghjk0498,59,int.__eq__
696,pplonski,59,str.join
697,Bentlybro,59,str.join
698,leehua03f3,59,str.join
699,Gasiorrr,58,object.__init__
700,JGuiraud,58,object.__init__
701,isayahc,58,object.__init__
702,dtakahas,58,object.__init__
703,taylor-ennen,58,int.__eq__
704,AcrearHub,58,object.__init__
705,bary12,58,object.__init__
706,Metameg,58,object.__init__
707,ScottGPT,58,object.__init__
708,CryptoFewka,58,str.join
709,CryptoFewka,58,int.__eq__
710,Auto-GPT-Turbo,58,dict.__getitem__
711,hamicek,58,int.__eq__
712,AutoGPT-trading,58,int.__eq__
713,fpingham,58,str.join
714,996800651,58,object.__repr__
715,996800651,58,str.__add__
716,996800651,58,int.__add__
717,mahmudremal,58,object.__init__
718,greyun,58,object.__init__
