,0713e,2660890854,707500190,996800651,AcrearHub,Agora-X,AlbertGithubAI,Asimov,Auto-GPT,Auto-GPT-Graph,Auto-GPT-Plugin-Template,Auto-GPT-Turbo,Auto-GPT-aj,Auto-GPT-chat-gpt-prompts,AutoGPT-trading,AutoGPTOfficial,BatsyDefenseAi,Bentlybro,BillSchumacher,Calebslc,CollectionOfAtoms,Crock-nic,CryptoFewka,DedicatedDev,Freek-ZIGZAG,FritzGPT,Gasiorrr,Godmode-GPT,HMDCrew,HawkClaws,Iyfo,JGuiraud,JadeCong,Jarvis,Leeheejin,MasonBoom,MasonBoomPersonalAssistant,Matlan1,Metameg,Multi-GPT,NaixingWang,PolyGPT-alpha,RedAGPT,ScottGPT,SuperAGI,Swarms-Of-Sparta,TheAgency,Tonic-AI,a-cires,aabhishekdata,aaron13100,agent-protocol-client-python,agent-protocol-sdk-python,ahmedmiamer,alex-dna-tech,analysis,aorwall,aplomb2,b2ktortechnik,babyagi,banuitt,bary12,beebot,blazzbyte,chasegalloway,clusterfudge,cnacha-mfu,conversational-agent,darkanubis0100,datasci888,dtakahas,elder-plinius,elmcrest,enachb,eugenxs,evo.ninja,fpingham,georgehaws,ghjk0498,gordonwilliamsburg,greyun,hackgoofer,hamicek,harishafeez1,hooking-software,ido777,ijuubs,isayahc,ishangirdhar,jackcusick95,jackyluo-learning,jankomisarczyk,jm16,jmikedupont2,joslangarica,kabbo25,kuraldijital,kwassali,lebsral,leehua03f3,lollms,loveyoumaxin,mahmudremal,markcam1,martinpeng,merwanehamadi,micahnz,mljar-agent,neitheroption,openai-python,osGPT,pplonski,python-poetry,reyug9,scottmas,smol-developer,taylor-ennen,vikyw89,yodatech1988
list.__getitem__,71,12,14,67,56,71,6,84,69,1,,28,7,6,84,72,,71,10,71,71,71,84,71,72,71,72,11,71,71,71,72,72,68,19,97,97,72,56,8,71,,1,72,28,71,113,70,84,1,71,,2,71,71,180,87,71,56,6,67,56,3,72,72,70,41,14,71,84,72,85,86,84,71,1,84,84,86,84,56,71,85,71,70,71,35,72,56,72,72,68,84,68,71,71,71,71,70,71,32,23,72,84,56,71,71,71,72,1,72,71,2,20,72,1,84,68,71
dict.__setitem__,96,5,5,66,91,94,,98,93,3,,35,1,,98,94,1,94,3,96,94,94,100,94,94,94,94,7,94,94,96,94,94,96,26,102,102,94,91,,94,,,94,35,94,113,95,98,1,96,30,1,94,96,180,98,94,91,2,95,91,10,94,94,96,34,8,94,98,94,98,98,98,94,,98,98,98,98,91,94,98,94,96,96,31,94,91,94,94,96,98,97,94,94,94,96,96,94,38,8,94,100,91,94,94,94,94,20,94,94,,29,94,3,98,96,94
sqlalchemy.sql.operators.ColumnOperators.__eq__,2,,,2,4,2,,4,2,,,,,,4,4,,2,,2,2,2,4,2,4,2,4,,2,2,2,4,4,2,,6,6,4,4,,2,,,4,171,2,14,8,4,,2,,,2,2,43,8,2,4,,2,4,,4,4,2,,,2,4,4,4,8,4,2,,4,4,8,4,4,2,4,2,2,2,,4,4,4,4,2,4,2,2,2,2,2,2,2,,,4,4,4,2,2,2,4,,4,2,,,4,,4,2,2
logging.Logger.info,11,,,10,11,11,,13,11,,,1,,,14,10,,10,,11,11,10,14,10,10,10,10,,10,10,11,10,10,10,1,15,15,10,11,,11,,,10,,11,29,13,14,,11,,,11,11,163,14,11,11,,10,11,,10,10,11,1,,10,15,10,14,12,14,10,,12,12,12,14,11,10,12,10,11,11,1,10,11,10,10,10,12,10,10,11,10,11,10,11,,,10,14,11,11,11,10,10,,10,10,,8,10,,13,10,11
contextlib.AbstractContextManager.__enter__,10,3,3,9,9,10,2,10,10,,,7,2,2,10,10,,10,2,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,4,10,10,10,9,2,10,,,10,,10,11,9,10,,10,,,10,10,163,10,10,9,,9,9,,10,10,10,6,1,10,10,10,10,10,10,10,,10,10,10,10,9,10,10,10,10,10,2,10,9,10,10,10,10,10,10,10,10,10,10,10,,4,10,10,9,10,10,10,10,,10,10,,6,10,,10,10,10
int.__eq__,53,28,32,50,49,53,9,62,51,4,,39,11,8,58,53,1,53,13,53,53,53,58,53,53,53,53,28,53,53,53,53,53,54,10,63,63,53,49,11,53,1,2,53,45,53,73,55,58,3,53,1,7,53,53,161,59,53,49,9,51,49,2,53,53,53,41,8,53,59,53,59,58,58,53,1,59,58,59,58,49,53,58,53,52,53,39,53,49,53,53,54,58,54,53,53,53,53,52,53,33,38,53,58,49,53,53,53,53,20,53,53,7,13,53,,58,54,53
int.__gt__,26,8,9,24,28,27,4,30,27,1,,17,5,4,29,29,,27,3,26,27,27,28,27,29,27,29,12,27,27,26,29,29,26,14,31,31,29,28,8,27,1,1,29,23,27,45,33,29,1,26,1,,27,26,153,37,27,28,2,25,28,8,29,29,25,15,5,27,30,29,28,33,29,27,1,28,29,33,29,28,27,29,27,25,26,13,29,28,29,29,26,29,26,27,27,27,26,26,27,21,13,29,28,28,27,27,27,29,20,29,27,,19,29,1,29,26,27
set.__init__,18,,,12,18,18,,20,18,,,1,,,20,18,,18,,18,18,18,20,18,18,18,18,,18,18,18,18,18,13,,22,22,18,18,,18,1,,18,1,18,26,20,20,,18,,,18,18,138,20,18,18,,12,18,,18,18,16,,3,18,20,18,20,20,20,18,,20,20,20,20,18,18,20,18,14,18,,18,18,18,18,13,20,13,18,18,18,18,13,18,,,18,20,18,18,18,18,18,,18,18,,,18,,20,13,18
str.__eq__,35,33,35,34,42,35,17,36,35,5,,68,13,16,36,37,,35,28,35,35,35,36,35,37,35,37,31,35,35,35,37,37,33,33,37,37,37,42,15,35,1,1,37,30,35,49,47,36,4,35,,3,35,35,136,40,35,42,1,33,42,5,37,37,35,66,4,35,36,37,36,40,36,35,,34,36,40,36,42,35,36,35,35,35,55,37,42,37,37,33,36,33,35,35,35,35,33,35,14,53,37,36,42,35,35,35,37,8,37,35,1,48,37,10,36,33,35
str.join,57,20,21,48,64,59,17,60,57,10,,40,22,17,60,61,3,59,17,57,59,60,58,59,62,59,61,19,59,59,57,62,62,54,26,61,61,61,64,16,59,,1,61,37,59,69,66,60,6,57,4,,59,57,128,66,59,64,16,52,64,19,61,61,56,29,8,59,60,61,61,63,60,59,,58,60,63,60,64,60,60,59,56,57,24,61,64,62,61,54,60,54,59,59,59,57,53,59,70,21,62,58,64,59,59,59,61,11,61,59,1,31,61,5,60,54,59
str.format,20,,1,6,22,21,1,21,21,1,,5,2,1,21,21,,21,,20,21,21,20,21,21,21,21,,21,21,20,21,21,20,5,21,21,21,22,1,21,,,21,2,21,22,22,21,1,20,14,,21,20,127,21,21,22,,20,22,7,21,21,20,5,6,21,21,21,21,21,21,21,,21,21,21,21,22,21,21,21,20,20,5,21,22,21,21,20,21,20,21,21,21,20,20,21,2,,21,20,22,21,21,21,21,32,21,21,,5,21,2,21,20,21
typing.Mapping.__contains__,39,3,4,28,38,39,2,41,39,,,12,2,2,41,39,1,39,2,39,39,39,41,39,39,39,39,5,39,39,39,39,39,38,13,43,43,39,38,2,39,,,39,4,39,46,40,41,,39,10,,39,39,123,43,39,38,2,38,38,2,39,39,39,15,5,39,41,39,41,41,41,39,,41,41,41,41,38,39,41,39,39,39,18,39,38,39,39,38,41,38,39,39,39,39,38,39,11,7,39,41,38,39,39,39,39,7,39,39,,14,39,,41,38,39
list.__init__,18,6,6,26,22,21,2,21,20,1,,14,5,2,21,22,,21,3,18,21,21,18,21,22,21,22,6,21,21,18,22,22,22,10,21,21,22,22,2,21,,,22,8,21,24,23,21,1,18,,2,21,18,122,23,21,22,1,26,22,,22,22,17,12,3,21,21,22,21,23,21,21,3,22,21,23,21,22,21,21,21,17,18,9,22,22,22,22,22,21,22,21,21,21,18,22,21,8,7,22,18,22,21,21,21,22,2,22,21,,10,22,,21,22,21
io.TextIOWrapper.__enter__,88,22,29,83,74,88,10,88,86,8,,45,14,10,88,88,1,88,21,88,88,88,88,88,88,88,88,21,88,88,88,88,88,89,28,88,88,88,74,8,88,4,1,88,13,88,74,74,88,7,88,,,88,88,114,88,88,74,9,81,74,14,88,88,88,60,5,88,88,88,91,88,88,88,,88,88,88,88,74,88,88,88,88,88,56,88,74,88,88,89,88,89,88,88,88,88,89,88,121,31,88,88,74,88,88,88,88,2,88,88,,28,88,9,88,89,88
logging.Logger.error,19,,,15,23,19,,35,19,,,,,,35,23,,19,,19,19,19,35,19,23,19,23,,19,19,19,23,23,15,1,51,51,23,23,,19,,,23,,19,120,43,35,,19,,,19,19,45,43,19,23,,15,23,,23,23,19,1,,19,36,23,35,43,35,19,,35,35,43,35,23,19,35,19,19,19,1,23,23,23,23,15,35,18,19,19,19,19,15,19,,1,23,35,23,19,19,19,23,,23,19,,2,23,,35,15,19
unittest.case._AssertRaisesContext.__enter__,2,5,4,2,2,2,6,2,2,1,,,6,6,2,2,,2,7,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,,2,2,2,2,6,2,,,2,5,2,2,2,2,1,2,,,2,2,117,2,2,2,,2,2,,2,2,2,,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,2,2,,,2,,2,2,2
int.__add__,53,28,33,58,42,54,21,56,53,11,,37,28,21,54,55,6,54,17,53,54,54,53,54,55,54,55,27,54,54,53,55,55,59,30,54,54,55,42,25,54,,,55,23,54,44,43,54,10,53,1,2,54,53,113,61,54,42,16,58,42,3,55,55,52,48,7,54,54,55,54,56,54,54,,54,54,58,54,42,54,54,54,52,53,44,55,42,55,55,59,54,59,54,54,54,53,59,54,31,33,55,53,42,54,54,54,55,5,55,54,,30,55,,54,59,54
tempfile.TemporaryDirectory.__init__,1,,,1,1,1,,1,1,,,1,,,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,1,1,,1,,,1,1,110,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,,,1,,1,1,1
tempfile.TemporaryDirectory.__enter__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object.__eq__,29,23,28,20,28,31,4,32,31,,,31,3,4,32,32,,31,17,29,31,32,30,31,32,31,32,23,31,31,29,32,32,22,9,33,33,32,28,3,31,1,,32,12,31,32,29,32,,29,,1,31,29,105,34,31,28,,20,28,,32,32,28,34,,31,32,32,32,33,32,31,,32,32,33,32,28,32,32,31,24,29,23,32,28,32,32,22,32,22,31,31,31,29,22,31,8,33,32,30,28,31,31,31,32,2,32,31,,11,32,,32,22,31
unittest.case.TestCase.assertRaises,2,5,4,2,2,2,6,2,2,1,,,6,6,2,2,,2,7,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,,2,2,2,2,6,2,,,2,5,2,2,2,2,1,2,,,2,2,103,2,2,2,,2,2,,2,2,2,,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,,2,2,,,2,,2,2,2
dict.get,49,3,4,30,40,47,1,48,45,,,16,2,1,48,47,1,47,2,49,47,47,50,47,47,47,47,3,47,47,49,47,47,48,13,49,49,47,40,3,47,1,,47,12,47,44,41,48,,49,17,1,47,49,102,48,47,40,1,48,40,8,47,47,49,20,3,47,48,47,48,48,48,47,,48,48,48,48,40,47,48,47,49,49,16,47,40,47,47,48,48,48,47,47,47,49,48,47,4,7,47,50,40,47,47,47,47,18,47,47,,15,47,,48,48,47
logging.Logger.debug,29,,,26,33,29,,45,29,,,7,,,45,33,,29,,29,29,29,45,29,33,29,33,,29,29,29,33,33,26,7,61,61,33,33,,29,,,33,,29,101,53,45,,29,,,29,29,42,58,29,33,,26,33,,33,33,29,7,,29,45,33,45,53,45,29,,45,45,53,45,33,29,45,29,29,29,7,33,33,33,33,26,45,26,29,29,29,29,26,29,,,33,45,33,29,29,29,33,,33,29,,11,33,,45,26,29
int.__new__,10,11,11,7,11,10,13,10,10,4,,9,15,13,10,10,,10,11,10,10,10,10,10,10,10,10,13,10,10,10,10,10,11,2,10,10,10,11,16,10,,1,10,30,10,12,11,10,4,10,,,10,10,92,10,10,11,2,7,11,6,10,10,10,2,6,10,10,10,10,10,10,10,,10,10,10,10,11,10,10,10,10,10,5,10,11,10,10,11,10,11,10,10,10,10,10,10,47,8,10,10,11,10,10,10,10,5,10,10,,2,10,,10,11,10
beniget.tests.test_chains.TestDefUseChains.checkChains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pathlib.Path.resolve,13,1,1,15,15,13,1,15,13,,,3,1,1,15,13,,13,1,13,13,13,15,13,13,13,13,1,13,13,13,13,13,13,3,17,17,13,15,1,13,,,13,3,13,23,17,15,,13,,,13,13,91,15,13,15,,14,15,,13,13,13,3,,13,15,13,15,15,15,13,,15,15,15,15,15,13,15,13,13,13,3,13,15,13,13,13,15,13,13,13,13,13,12,13,5,1,13,15,15,13,13,13,13,,13,13,2,3,13,,15,12,13
unittest.mock.MagicMixin.__init__,,5,7,2,,,1,,,,,6,1,1,,,,,5,,,,,,,,,5,,,,,,2,,,,,,1,,,,,90,,,,,,,,,,,45,,,,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,2,,2,,,,,2,,,7,,,,,,,,,,,,,,,,2,
dict.items,49,3,4,40,44,48,1,49,47,2,,16,2,1,49,48,,48,3,49,48,48,50,48,48,48,48,4,48,48,49,48,48,42,12,50,50,48,44,1,48,,,48,6,48,48,45,49,2,49,3,,48,49,88,49,48,44,,43,44,4,48,48,49,18,4,48,49,48,49,49,49,48,1,49,49,49,49,44,48,49,48,49,49,16,48,44,48,48,42,49,42,48,48,48,49,43,48,10,7,48,50,44,48,48,48,48,8,48,48,,14,48,,49,42,48
sapp.sapp.db.DB.make_session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slice.__init__,31,8,10,29,33,33,7,42,31,2,,8,10,6,41,34,2,33,8,31,33,33,39,33,34,33,34,13,33,33,31,34,34,30,8,51,51,34,33,13,31,,,34,22,33,69,43,42,2,31,,4,33,31,84,48,33,33,27,29,33,6,34,34,30,11,5,33,43,34,40,43,41,33,,42,41,43,41,33,33,42,33,30,31,11,34,33,34,34,30,41,30,33,33,33,30,31,33,83,12,34,39,33,33,33,33,34,11,34,33,1,8,34,3,41,30,33
str.split,28,10,12,27,30,28,7,40,27,1,,18,9,7,40,29,,28,8,28,28,28,40,28,29,28,29,8,28,28,28,29,29,27,13,52,52,29,30,7,28,,1,29,13,28,82,43,40,1,28,,,28,28,79,42,28,30,7,26,30,2,29,29,28,13,1,28,40,29,40,42,40,28,,40,40,42,40,30,28,41,28,28,28,13,29,30,29,29,27,40,27,28,28,28,28,27,28,16,11,29,40,30,28,28,28,29,1,29,28,1,12,29,,40,27,28
logging.Logger.warning,2,,,2,2,2,,3,2,,,1,,,3,2,,2,,2,2,2,3,2,2,2,2,,2,2,2,2,2,3,1,4,4,2,2,,2,,,2,,2,6,3,3,,2,,,2,2,75,3,2,2,,2,2,,2,2,2,1,,2,3,2,3,3,3,2,,3,3,3,3,2,2,3,2,2,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,,,2,3,2,2,2,2,2,,2,2,,1,2,,3,2,2
str.strip,15,7,6,13,17,15,4,15,15,1,,10,6,4,15,16,,15,7,15,15,15,15,15,17,15,16,5,15,15,15,17,17,15,9,15,15,16,17,4,15,,,16,7,15,19,19,15,1,15,,,15,15,71,17,15,17,7,13,17,5,16,16,15,9,1,15,15,16,15,17,15,15,,14,15,17,15,17,15,15,15,15,15,7,16,17,17,16,15,15,15,15,15,15,15,15,15,2,7,17,15,17,15,15,15,16,3,16,15,,9,16,,15,15,15
list.__add__,7,,1,8,5,5,,5,5,1,,7,,,5,5,,5,,7,5,5,7,5,5,5,5,,5,5,7,5,5,8,4,5,5,5,5,,5,,,5,3,5,5,5,5,,7,,1,5,7,66,6,5,5,3,8,5,,5,5,7,5,2,5,5,5,5,5,5,5,,6,5,5,5,5,5,5,5,7,7,2,5,5,5,5,8,5,8,5,5,5,7,8,5,8,1,5,7,5,5,5,5,5,,5,5,,6,5,,5,8,5
superagi.lib.logger.Logger.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unittest.mock.CallableMixin.__init__,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unittest.case.TestCase.assertIn,,7,8,,,,8,,,,,1,8,8,,,,,9,,,,,,,,,7,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,63,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
beniget.tests.test_definitions.TestGlobals.checkGlobals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lollms.config.BaseConfig.__getitem__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,
io.TextIOBase.write,28,12,12,27,24,28,4,28,27,2,,20,8,4,28,28,1,28,12,28,28,28,28,28,28,28,28,12,28,28,28,28,28,28,8,28,28,28,24,4,28,2,,28,2,28,24,24,28,2,28,,,28,28,62,28,28,24,3,26,24,5,28,28,28,24,3,28,28,28,29,28,28,28,,28,28,28,28,24,28,28,28,28,28,24,28,24,28,28,28,28,28,28,28,28,28,28,28,13,12,28,28,24,28,28,28,28,,28,28,,10,28,3,28,28,28
list.__contains__,50,6,7,50,50,50,1,53,50,,,19,1,1,53,50,5,50,5,50,50,50,53,50,50,50,50,6,50,50,50,50,50,49,10,56,56,50,50,1,50,,2,50,19,50,62,53,53,,50,10,,50,50,22,58,50,50,3,54,50,6,50,50,49,16,17,50,53,50,53,53,53,50,3,52,53,53,53,50,50,53,50,49,50,12,50,50,50,50,49,53,49,50,50,50,50,49,50,31,9,50,53,50,50,50,50,50,10,50,50,1,13,50,,53,49,50
unittest.mock._patch.__enter__,10,10,18,11,8,10,1,10,10,,,17,1,1,10,10,,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,1,10,10,10,8,1,10,,,10,61,10,8,8,10,,10,,,10,10,46,10,10,8,,11,8,5,10,10,10,13,,10,10,10,10,10,10,10,,10,10,10,10,8,10,10,10,10,10,12,10,8,10,10,11,10,11,10,10,10,10,11,10,,18,10,10,8,10,10,10,10,,10,10,,1,10,,10,11,10
int.__sub__,46,8,9,49,36,47,6,50,47,3,,15,7,6,50,47,,47,5,46,47,47,49,47,47,47,47,7,47,47,46,47,47,50,10,53,53,47,36,8,47,,,47,13,47,48,39,50,2,46,,2,47,46,59,50,47,36,6,49,36,,47,47,45,23,4,47,50,47,50,50,50,47,2,50,50,53,50,36,47,50,47,45,46,22,47,36,47,47,50,50,50,47,47,47,46,50,47,28,14,47,49,36,47,47,47,47,1,47,47,,11,47,,50,50,47
sqlalchemy.orm.session.Session.__enter__,10,,,10,14,10,,20,10,,,,,,20,14,,10,,10,10,10,20,10,14,10,14,,10,10,10,14,14,10,,30,30,14,14,,10,,,14,,10,58,28,20,,10,,,10,10,,28,10,14,,10,14,,14,14,10,,,10,20,14,20,28,20,10,,20,20,28,20,14,10,20,10,10,10,,14,14,14,14,10,20,10,10,10,10,10,10,10,,,14,20,14,10,10,10,14,,14,10,,,14,,20,10,10
sqlalchemy.orm.session.sessionmaker.__call__,10,,,10,14,10,,20,10,,,,,,20,14,,10,,10,10,10,20,10,14,10,14,,10,10,10,14,14,10,,30,30,14,14,,10,,,14,,10,58,28,20,,10,,,10,10,,28,10,14,,10,14,,14,14,10,,,10,20,14,20,28,20,10,,20,20,28,20,14,10,20,10,10,10,,14,14,14,14,10,20,10,10,10,10,10,10,10,,,14,20,14,10,10,10,14,,14,10,,,14,,20,10,10
