
mdupont@mdupont-G470:~/experiments/ai-ticket$ sudo docker-compose up
Creating ai-ticket_jarvis_1 ... 
Creating ai-ticket_auto-gpt-aj_1 ... 
Creating ai-ticket_the_agency_4_1 ... 
Starting ai-ticket_act_base_1     ... 
Creating ai-ticket_scott-gpt_1    ... 
Creating ai-ticket_swarms_of_sparta_1 ... 
Creating ai-ticket_auto-gpt-chat-gpt-prompts_1 ... 
Creating ai-ticket_mason_boom_1                ... 
Creating ai-ticket_the_agency_2_1              ... 
Creating ai-ticket_mason_boom_testgpt_1        ... 
Creating ai-ticket_the_agency_3_1              ... 
Creating ai-ticket_mljar_1                     ... 
Creating ai-ticket_the_agency_1_1              ... 
Creating ai-ticket_mason_boom_pa_1             ... 
Creating ai-ticket_babyagi_1                   ... 
Creating ai-ticket_autogpt-turbo_1             ... 
Starting ai-ticket_poetry_base_1               ... 
Starting ai-ticket_ai_ticket_1                 ... 
ai-ticket_mockopenai_1 is up-to-date
Creating ai-ticket_basic_agent_1               ... 
Creating ai-ticket_arena_1                     ... 
Creating ai-ticket_autogpt_1                   ... 
Attaching to ai-ticket_act_base_1, ai-ticket_mason_boom_pa_1, ai-ticket_mason_boom_1, ai-ticket_poetry_base_1, ai-ticket_auto-gpt-chat-gpt-prompts_1, ai-ticket_mason_boom_testgpt_1, ai-ticket_the_agency_4_1, ai-ticket_babyagi_1, ai-ticket_the_agency_3_1, ai-ticket_scott-gpt_1, ai-ticket_autogpt-turbo_1, ai-ticket_the_agency_2_1, ai-ticket_auto-gpt-aj_1, ai-ticket_mljar_1, ai-ticket_swarms_of_sparta_1, ai-ticket_jarvis_1, ai-ticket_the_agency_1_1, ai-ticket_ai_ticket_1, ai-ticket_mockopenai_1, ai-ticket_basic_agent_1, ai-ticket_arena_1, ai-ticket_autogpt_1
ai-ticket_act_base_1 exited with code 0
auto-gpt-aj_1                | Warning: 文件 'auto-gpt.json' 不存在. 本地内存不会保存到文件中。.
autogpt-turbo_1              | Requirement already satisfied: idna<4,>=2.5 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from requests>=2.26.0->docker==6.1.3->ai-ticket==0.0.1) (3.4)
autogpt-turbo_1              | Requirement already satisfied: certifi>=2017.4.17 in /application_root/.cache/virtualenvs/agpt-turbo-9TtSrW0h-py3.11/lib/python3.11/site-packages (from requests>=2.26.0->docker==6.1.3->ai-ticket==0.0.1) (2023.7.22)
autogpt-turbo_1              | Building wheels for collected packages: ai-ticket
autogpt-turbo_1              |   Building wheel for ai-ticket (pyproject.toml) ... done
autogpt-turbo_1              |   Created wheel for ai-ticket: filename=ai_ticket-0.0.1-py2.py3-none-any.whl size=4023 sha256=280c2fa782a7fc144d93fac8a4bed8281ae96a8650f476858f3894f6edd92120
autogpt-turbo_1              |   Stored in directory: /tmp/pip-ephem-wheel-cache-yi_izlhv/wheels/26/f5/fb/02668600461e9b9779ab4bb937d27f484c2fa9e06e9ea5689a
autogpt-turbo_1              | Successfully built ai-ticket
autogpt-turbo_1              | Installing collected packages: ai-ticket
autogpt-turbo_1              | Successfully installed ai-ticket-0.0.1
ai-ticket_arena_1 exited with code 0
auto-gpt-chat-gpt-prompts_1  | Warning: The file 'auto-gpt.json' does not exist. Local memory would not be saved to a file.
babyagi_1                    | Traceback (most recent call last):
babyagi_1                    |   File "/app/babyagi.py", line 14, in <module>
babyagi_1                    |     import chromadb
babyagi_1                    |   File "/usr/local/lib/python3.11/site-packages/chromadb/__init__.py", line 1, in <module>
babyagi_1                    |     import chromadb.config
babyagi_1                    |   File "/usr/local/lib/python3.11/site-packages/chromadb/config.py", line 1, in <module>
babyagi_1                    |     from pydantic import BaseSettings
babyagi_1                    |   File "/usr/local/lib/python3.11/site-packages/pydantic/__init__.py", line 218, in __getattr__
babyagi_1                    |     return _getattr_migration(attr_name)
babyagi_1                    |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
babyagi_1                    |   File "/usr/local/lib/python3.11/site-packages/pydantic/_migration.py", line 294, in wrapper
babyagi_1                    |     raise PydanticImportError(
babyagi_1                    | pydantic.errors.PydanticImportError: `BaseSettings` has been moved to the `pydantic-settings` package. See https://docs.pydantic.dev/2.4/migration/#basesettings-has-moved-to-pydantic-settings for more details.
babyagi_1                    | 
babyagi_1                    | For further information visit https://errors.pydantic.dev/2.4/u/import-error
ai-ticket_ai_ticket_1 exited with code 0
ai-ticket_babyagi_1 exited with code 1
auto-gpt-aj_1                | Skip Re-prompt:  ENABLED
ai-ticket_basic_agent_1 exited with code 0
jarvis_1                     | Warning: Input is not a terminal (fd=0).
mason_boom_pa_1              | Path /benchmark for agbenchmark does not exist
jarvis_1                     | plugins_config.yaml does not exist, creating base config.
jarvis_1                     | You do not have access to gpt-3.5-turbo-16k. Setting fast_llm to gpt-3.5-turbo.
mason_boom_1                 | Path /benchmark for agbenchmark does not exist
mason_boom_pa_1              | Skipping virtualenv creation, as specified in config file.
mason_boom_pa_1              | /usr/local/bin/python: No module named autogpt
auto-gpt-aj_1                | Using AI Settings File:  /tmp/ai_settings.yaml
mason_boom_testgpt_1         | Path /benchmark for agbenchmark does not exist
mason_boom_testgpt_1         | Skipping virtualenv creation, as specified in config file.
mason_boom_testgpt_1         | /usr/local/bin/python: No module named autogpt
mason_boom_1                 | Warning: Input is not a terminal (fd=0).
mason_boom_1                 | plugins_config.yaml does not exist, creating base config.
jarvis_1                     | You do not have access to gpt-4-0314. Setting smart_llm to gpt-3.5-turbo.
mason_boom_1                 | You do not have access to gpt-3.5-turbo-16k. Setting fast_llm to gpt-3.5-turbo.
mason_boom_1                 | You do not have access to gpt-4-0314. Setting smart_llm to gpt-3.5-turbo.
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Name : AutoGpt-Improvement-agent
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Name : AutoGPT bot evaluator
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Role : an AI designed to study the competitors of autogpt bot
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Goals: ['Find bots who are being evaluated', 'Find bots who are being worked on', 'Find bots who were submitted to the area', 'Review git commits from other bots', 'Look for docker files and try and run them', 'Try and refactor docker images to remove common packages', 'Try and refactor python requirements to remove common python packages', 'Give a report of recent activities of autogpt bot competitors', 'The report should be brief, contains only important messages', 'If applicable, provide commits and benchmark results', 'Give conclusion and suggestions to CEO']
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  API Budget: infinite
ai-ticket_mason_boom_testgpt_1 exited with code 1
mljar_1                      | Path /benchmark for agbenchmark does not exist
auto-gpt-aj_1                | Name :  AutoGpt-Improvement-agent
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  NOTE: All files/directories created by this agent can be found inside its workspace at: /app/auto_gpt_workspace
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  AutoGPT bot evaluator has been created with the following details:
ai-ticket_mason_boom_pa_1 exited with code 1
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Role : improve autogpt
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Goals: ['improve independence from external apis', 'make multi platform']
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  API Budget: $10.0
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  NOTE: All files/directories created by this agent can be found inside its workspace at: /app/auto_gpt_workspace
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Name : AutoGPT bot evaluator
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  AutoGpt-Improvement-agent has been created with the following details:
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Name : AutoGpt-Improvement-agent
ai-ticket_poetry_base_1 exited with code 0
scott-gpt_1                  | Path /benchmark for agbenchmark does not exist
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Role : improve autogpt
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  Goals: 
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  - improve independence from external apis
mason_boom_1                 | 2023-10-16 21:20:34,887 INFO  - make multi platform
scott-gpt_1                  | Warning: Input is not a terminal (fd=0).
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Role : an AI designed to study the competitors of autogpt bot
scott-gpt_1                  | You do not have access to gpt-3.5-turbo-16k. Setting fast_llm to gpt-3.5-turbo.
scott-gpt_1                  | You do not have access to gpt-4-0314. Setting smart_llm to gpt-3.5-turbo.
scott-gpt_1                  | 2023-10-16 21:20:34,887 INFO  Name : AutoGpt-Improvement-agent
mason_boom_1                 | 2023-10-16 21:20:34,887 WARNING  Could not load MemoryItems from file: Input is a zero-length, empty document: line 1 column 1 (char 0)
mason_boom_1                 | 2023-10-16 21:20:35,010 INFO  Configured Memory: JSONFileMemory
swarms_of_sparta_1           | Path /benchmark for agbenchmark does not exist
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  Goals: 
auto-gpt-aj_1                | Role :  improve autogpt
mljar_1                      | Warning: Input is not a terminal (fd=0).
scott-gpt_1                  | 2023-10-16 21:20:35,010 INFO  Role : improve autogpt
the_agency_1_1               | Creating virtualenv agpt-9TtSrW0h-py3.10 in /root/.cache/pypoetry/virtualenvs
the_agency_1_1               | Installing dependencies from lock file
mockopenai_1                 |  * Serving Flask app 'openai'
mockopenai_1                 |  * Debug mode: off
mockopenai_1                 | WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
mockopenai_1                 |  * Running on all addresses (0.0.0.0)
mockopenai_1                 |  * Running on http://127.0.0.1:5000
mockopenai_1                 |  * Running on http://172.18.0.2:5000
mockopenai_1                 | Press CTRL+C to quit
mockopenai_1                 | 172.18.0.3 - - [16/Oct/2023 21:11:54] "GET /v1/models HTTP/1.1" 200 -
mockopenai_1                 | DEBUG {
mockopenai_1                 |   "messages": [
mockopenai_1                 |     {
mockopenai_1                 |       "role": "system",
mockopenai_1                 |       "content": "You are AutoGPT bot evaluator, an AI designed to study the competitors of autogpt bot.\n\nYour decisions must always be made independently without seeking user assistance. Play to your strengths as an LLM and pursue simple strategies with no legal complications.\n\n## Constraints\nYou operate within the following constraints:\n1. Exclusively use the commands listed below.\n2. You can only act proactively, and are unable to start background jobs or set up webhooks for yourself. Take this into account when planning your actions.\n3. You are unable to interact with physical objects. If this is absolutely necessary to fulfill a task or objective or to complete a step, you must ask the user to do it for you. If the user refuses this, and there is no other way to achieve your goals, you must terminate to avoid wasting time and energy.\n\n## Resources\nYou can leverage access to the following resources:\n1. Internet access for searches and information gathering.\n2. The ability to read and write files.\n3. You are a Large Language Model, trained on millions of pages of text, including a lot of factual knowledge. Make use of this factual knowledge to avoid unnecessary gathering of information.\n\n## Commands\nYou have access to the following commands:\n1. execute_python_code: Executes the given Python code inside a single-use Docker container with access to your workspace folder. Params: (code: string)\n2. execute_python_file: Execute an existing Python file inside a single-use Docker container with access to your workspace folder. Params: (filename: string, args: Optional[list[str]])\n3. list_folder: List the items in a folder. Params: (folder: string)\n4. open_file: Open a file for editing or continued viewing; create it if it does not exist yet. Note: if you only need to read or write a file once, use `write_to_file` instead. Params: (file_path: string)\n5. open_folder: Open a folder to keep track of its content. Params: (path: string)\n6. read_file: Read an existing file. Params: (filename: string)\n7. write_file: Write a file, creating it if necessary. If the file exists, it is overwritten. Params: (filename: string, contents: string)\n8. ask_user: If you need more details or information regarding the given goals, you can ask the user for input. Params: (question: string)\n9. web_search: Searches the web. Params: (query: string)\n10. read_webpage: Read a webpage, and extract specific information from it if a question is specified. If you are looking to extract specific information from the webpage, you should specify a question. Params: (url: string, question: Optional[string])\n11. finish: Use this to shut down once you have accomplished all of your goals, or when there are insurmountable problems that make it impossible for you to finish your task. Params: (reason: string)\n\n## Best practices\n1. Continuously review and analyze your actions to ensure you are performing to the best of your abilities.\n2. Constructively self-criticize your big-picture behavior constantly.\n3. Reflect on past decisions and strategies to refine your approach.\n4. Every command has a cost, so be smart and efficient. Aim to complete tasks in the least number of steps.\n5. Only make use of your information gathering abilities to find information that you don't yet have knowledge of.\n\n## Goals\nFor your task, you must fulfill the following goals:\n1. Find bots who are being evaluated\n2. Find bots who are being worked on\n3. Find bots who were submitted to the area\n4. Review git commits from other bots\n5. Look for docker files and try and run them\n6. Try and refactor docker images to remove common packages\n7. Try and refactor python requirements to remove common python packages\n8. Give a report of recent activities of autogpt bot competitors\n9. The report should be brief, contains only important messages\n10. If applicable, provide commits and benchmark results\n11. Give conclusion and suggestions to CEO"
mockopenai_1                 |     },
mockopenai_1                 |     {
mockopenai_1                 |       "role": "system",
mockopenai_1                 |       "content": "The current time and date is Mon Oct 16 21:11:55 2023"
mockopenai_1                 |     },
mockopenai_1                 |     {
mockopenai_1                 |       "role": "system",
mockopenai_1                 |       "content": "Respond strictly with JSON. The JSON should be compatible with the TypeScript type `Response` from the following:\n```ts\ninterface Response {\nthoughts: {\n// Thoughts\ntext: string;\nreasoning: string;\n// Short markdown-style bullet list that conveys the long-term plan\nplan: string;\n// Constructive self-criticism\ncriticism: string;\n// Summary of thoughts to say to the user\nspeak: string;\n};\ncommand: {\nname: string;\nargs: Record<string, any>;\n};\n}\n```"
mockopenai_1                 |     },
mockopenai_1                 |     {
mockopenai_1                 |       "role": "user",
mockopenai_1                 |       "content": "Determine exactly one command to use next based on the given goals and the progress you have made so far, and respond using the JSON schema specified previously:"
mockopenai_1                 |     }
mockopenai_1                 |   ],
mockopenai_1                 |   "model": "gpt-3.5-turbo",
mockopenai_1                 |   "temperature": 0.0,
mockopenai_1                 |   "max_tokens": 3071
mockopenai_1                 | }
mockopenai_1                 | created comment IssueComment(user=NamedUser(login="jmikedupont2"), id=1765285297)
mockopenai_1                 | TICKET https://api.github.com/repos/jmikedupont2/ai-ticket/issues/comments/1765285297
jarvis_1                     | 2023-10-16 21:20:44,136 INFO  - Find bots who are being evaluated
scott-gpt_1                  | 2023-10-16 21:20:35,010 INFO  Goals: ['improve independence from external apis', 'make multi platform']
mockopenai_1                 | DEBUG {"command": {"name": "execute_python_code", "args": {"code": "print(42)"}}, "thoughts": {"plan": " First, I need to find the bots that are being evaluated or worked on. I can use the `web_search` command to search for bots using my knowledge of the domain, and the `read_webpage` command to extract specific information from the webpages. After that, I can use the `list_folder` command to list the items in the folder containing the bots, and `open_file` to open the files and check for git commits. I can utilize the `execute_python_code` and `execute_python_file` commands to run the docker files and refactor them. Finally, I can use the `write_file` command to write a report containing the recent activities of autogpt bot competitors, with commits and benchmark results if applicable, and a conclusion and suggestions to the CEO.\n\n{\n    \"thoughts\": {\n        \"text\": \"I will use the web_search command to search for bots, the read_webpage command to extract specific information, the list_folder command to list the items in the folder containing the bots, the open_file command to open the files and check for git commits, the execute_python_code and execute_python_file commands to run the", "speak": "This is where you speak to the requesting user. Replace the command above and this text with your results", "criticism": "todo", "reasoning": "{\"ai-ticket_jarvis_run_8ca3f765af59\": \"{\\\"attrs\\\": {\\\"Id\\\": \\\"2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8\\\", \\\"Created\\\": \\\"2023-10-16T21:11:51.120078328Z\\\", \\\"Path\\\": \\\"bash\\\", \\\"Args\\\": [\\\"-c\\\", \\\"poetry run python -m autogpt -y --skip-news --ai-settings /tmp/ai_settings.yaml  \\\"], \\\"State\\\": {\\\"Status\\\": \\\"running\\\", \\\"Running\\\": true, \\\"Paused\\\": false, \\\"Restarting\\\": false, \\\"OOMKilled\\\": false, \\\"Dead\\\": false, \\\"Pid\\\": 167201, \\\"ExitCode\\\": 0, \\\"Error\\\": \\\"\\\", \\\"StartedAt\\\": \\\"2023-10-16T21:11:52.57375257Z\\\", \\\"FinishedAt\\\": \\\"0001-01-01T00:00:00Z\\\"}, \\\"Image\\\": \\\"sha256:711edfdf8be5afa7010a3e4a59d4f9c447c4e6eae5a324b96580288ff17e9973\\\", \\\"ResolvConfPath\\\": \\\"/mnt/data1/docker/containers/2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8/resolv.conf\\\", \\\"HostnamePath\\\": \\\"/mnt/data1/docker/containers/2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8/hostname\\\", \\\"HostsPath\\\": \\\"/mnt/data1/docker/containers/2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8/hosts\\\", \\\"LogPath\\\": \\\"/mnt/data1/docker/containers/2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8/2337f4b6c20e6028bcddb77631cb203108c6bac85cffff95c3538eb5cad409f8-json.log\\\", \\\"Name\\\": \\\"/ai-ticket_jarvis_run_8ca3f765af59\\\", \\\"RestartCount\\\": 0, \\\"Driver\\\": \\\"overlay2\\\", \\\"Platform\\\": \\\"linux\\\", \\\"MountLabel\\\": \\\"\\\", \\\"ProcessLabel\\\": \\\"\\\", \\\"AppArmorProfile\\\": \\\"docker-default\\\", \\\"ExecIDs\\\": null, \\\"HostConfig\\\": {\\\"Binds\\\": [\\\"/mnt/data1/2023/09/24/ai-ticket/vendor/Jarvis/benchmark:/benchmark:rw\\\", \\\"/mnt/data1/2023/09/24/ai-ticket/tests/ai_settings.yaml:/tmp/ai_settings.yaml:rw\\\"], \\\"ContainerIDFile\\\": \\\"\\\", \\\"LogConfig\\\": {\\\"Type\\\": \\\"json-file\\\", \\\"Config\\\": {}}, \\\"NetworkMode\\\": \\\"ai-ticket_default\\\", \\\"PortBindings\\\": {}, \\\"RestartPolicy\\\": {\\\"Name\\\": \\\"\\\", \\\"MaximumRetryCount\\\": 0}, \\\"AutoRemove\\\": false, \\\"VolumeDriver\\\": \\\"\\\", \\\"VolumesFrom\\\": [], \\\"ConsoleSize\\\": [0, 0], \\\"CapAdd\\\": null, \\\"CapDrop\\\": null, \\\"CgroupnsMode\\\": \\\"private\\\", \\\"Dns\\\": null, \\\"DnsOptions\\\": null, \\\"DnsSearch\\\": null, \\\"ExtraHosts\\\": null, \\\"GroupAdd\\\": null, \\\"IpcMode\\\": \\\"private\\\", \\\"Cgroup\\\": \\\"\\\", \\\"Links\\\": null, \\\"OomScoreAdj\\\": 0, \\\"PidMode\\\": \\\"\\\", \\\"Privileged\\\": false, \\\"PublishAllPorts\\\": false, \\\"ReadonlyRootfs\\\": false, \\\"SecurityOpt\\\": null, \\\"UTSMode\\\": \\\"\\\", \\\"UsernsMode\\\": \\\"\\\", \\\"ShmSize\\\": 67108864, \\\"Runtime\\\": \\\"runc\\\", \\\"Isolation\\\": \\\"\\\", \\\"CpuShares\\\": 0, \\\"Memory\\\": 0, \\\"NanoCpus\\\": 0, \\\"CgroupParent\\\": \\\"\\\", \\\"BlkioWeight\\\": 0, \\\"BlkioWeightDevice\\\": null, \\\"BlkioDeviceReadBps\\\": null, \\\"BlkioDeviceWriteBps\\\": null, \\\"BlkioDeviceReadIOps\\\": null, \\\"BlkioDeviceWriteIOps\\\": null, \\\"CpuPeriod\\\": 0, \\\"CpuQuota\\\": 0, \\\"CpuRealtimePeriod\\\": 0, \\\"CpuRealtimeRuntime\\\": 0, \\\"CpusetCpus\\\": \\\"\\\", \\\"CpusetMems\\\": \\\"\\\", \\\"Devices\\\": null, \\\"DeviceCgroupRules\\\": null, \\\"DeviceRequests\\\": null, \\\"MemoryReservation\\\": 0, \\\"MemorySwap\\\": 0, \\\"MemorySwappiness\\\": null, \\\"OomKillDisable\\\": null, \\\"PidsLimit\\\": null, \\\"Ulimits\\\": null, \\\"CpuCount\\\": 0, \\\"CpuPercent\\\": 0, \\\"IOMaximumIOps\\\": 0, \\\"IOMaximumBandwidth\\\": 0, \\\"MaskedPaths\\\": [\\\"/proc/asound\\\", \\\"/proc/acpi\\\", \\\"/proc/kcore\\\", \\\"/proc/keys\\\", \\\"/proc/latency_stats\\\", \\\"/proc/timer_list\\\", \\\"/proc/timer_stats\\\", \\\"/proc/sched_debug\\\", \\\"/proc/scsi\\\", \\\"/sys/firmware\\\"], \\\"ReadonlyPaths\\\": [\\\"/proc/bus\\\", \\\"/proc/fs\\\", \\\"/proc/irq\\\", \\\"/proc/sys\\\", \\\"/proc/sysrq-trigger\\\"]}, \\\"GraphDriver\\\": {\\\"Data\\\": {\\\"LowerDir\\\": \\\"/mnt/data1/docker/overlay2/08d64c8f10da3ddf1bfa3025938399e99c6c3fea199d8f6434eefff5df7acb34-init/diff:/mnt/data1/docker/overlay2/n9indorz926rittlqnelsp2fy/diff:/mnt/data1/docker/overlay2/uok8kph5abntidd3pjv7e4g0g/diff:/mnt/data1/docker/overlay2/xngdu0ib4nyls1l8dmlc8c3p0/diff:/mnt/data1/docker/overlay2/y7au6a0asag1akh57mxpyn05b/diff:/mnt/data1/docker/overlay2/v7mmd7ws9dcd0m6yohownu1rp/diff:/mnt/data1/docker/overlay2/lmqb4hqeeyrldg8eipxvzia2s/diff:/mnt/data1/docker/overlay2/rz587gm4enfqh9k5q9t7m6hw8/diff:/mnt/data1/docker/overlay2/qmrlqtrahnwff4yvjrnvon2pt/diff:/mnt/data1/docker/overlay2/lzr3ncoifb3btunp896ic2qeq/diff:/mnt/data1/docker/overlay2/k18nvmp1mam8tkt41pd67hsmo/diff:/mnt/data1/docker/overlay2/cspx0u3m4jgo741dw8sjya461/diff:/mnt/data1/docker/overlay2/64oekbzg483ghgebsks26k5it/diff:/mnt/data1/docker/overlay2/myg9o89urqretrf0ja6lml920/diff:/mnt/data1/doc\"}", "text": "This template will be executed."}}
mockopenai_1                 | created comment IssueComment(user=NamedUser(login="jmikedupont2"), id=1765285344)
mockopenai_1                 | 172.18.0.3 - - [16/Oct/2023 21:12:03] "POST /v1/chat/completions HTTP/1.1" 200 -
mockopenai_1                 | 172.18.0.5 - - [16/Oct/2023 21:20:31] "GET /v1/models HTTP/1.1" 200 -
mockopenai_1                 | 172.18.0.11 - - [16/Oct/2023 21:20:33] "GET /v1/models HTTP/1.1" 200 -
mockopenai_1                 | 172.18.0.13 - - [16/Oct/2023 21:20:37] "GET /v1/models HTTP/1.1" 200 -
mockopenai_1                 | 172.18.0.4 - - [16/Oct/2023 21:20:39] "GET /v1/models HTTP/1.1" 200 -
mockopenai_1                 | Retrying langchain.llms.openai.completion_with_retry.<locals>._completion_with_retry in 4.0 seconds as it raised RateLimitError: Rate limit reached for text-davinci-003 in organization org-ZjaIs4ZsUG8dzXEPqKUwjEt0 on requests per min. Limit: 3 / min. Please try again in 20s. Contact us through our help center at help.openai.com if you continue to have issues. Please add a payment method to your account to increase your rate limit. Visit https://platform.openai.com/account/billing to add a payment method..
mockopenai_1                 | DEBUG {
mockopenai_1                 |   "messages": [
mockopenai_1                 |     {
mockopenai_1                 |       "role": "system",
scott-gpt_1                  | 2023-10-16 21:20:35,010 INFO  API Budget: $10.0
